Subject, Start Date, End Date, Start Time, End Time
Geometry A1, 2017-10-10, 2017-10-10, 17:00, 18:00
Geometry A2, 2017-10-11, 2017-10-11, 17:00, 18:00
Geometry A3, 2017-10-12, 2017-10-12, 17:00, 18:00
Geometry A4, 2017-10-13, 2017-10-13, 17:00, 18:00
Geometry A5, 2017-10-14, 2017-10-14, 17:00, 18:00
Geometry A6, 2017-10-15, 2017-10-15, 17:00, 18:00
Geometry A7, 2017-10-16, 2017-10-16, 17:00, 18:00
Geometry A8, 2017-10-17, 2017-10-17, 17:00, 18:00
Geometry A9, 2017-10-18, 2017-10-18, 17:00, 18:00
Geometry A10, 2017-10-19, 2017-10-19, 17:00, 18:00
Geometry B1, 2017-10-20, 2017-10-20, 17:00, 18:00
Geometry B2, 2017-10-21, 2017-10-21, 17:00, 18:00
Geometry B3, 2017-10-22, 2017-10-22, 17:00, 18:00
Geometry B4, 2017-10-23, 2017-10-23, 17:00, 18:00
Geometry B5, 2017-10-24, 2017-10-24, 17:00, 18:00
Geometry B6, 2017-10-25, 2017-10-25, 17:00, 18:00
Geometry B7, 2017-10-26, 2017-10-26, 17:00, 18:00
Geometry B8, 2017-10-27, 2017-10-27, 17:00, 18:00
Geometry B9, 2017-10-28, 2017-10-28, 17:00, 18:00
Geometry C1, 2017-10-29, 2017-10-29, 17:00, 18:00
Geometry C2, 2017-10-30, 2017-10-30, 17:00, 18:00
Geometry C3, 2017-10-31, 2017-10-31, 17:00, 18:00
Geometry C4, 2017-11-01, 2017-11-01, 17:00, 18:00
Geometry C5, 2017-11-02, 2017-11-02, 17:00, 18:00
Geometry C6, 2017-11-03, 2017-11-03, 17:00, 18:00
Geometry C7, 2017-11-04, 2017-11-04, 17:00, 18:00
Geometry C8, 2017-11-05, 2017-11-05, 17:00, 18:00
Geometry D1, 2017-11-06, 2017-11-06, 17:00, 18:00
Geometry D2, 2017-11-07, 2017-11-07, 17:00, 18:00
Geometry D3, 2017-11-08, 2017-11-08, 17:00, 18:00
Geometry D4, 2017-11-09, 2017-11-09, 17:00, 18:00
Geometry D5, 2017-11-10, 2017-11-10, 17:00, 18:00
Geometry D6, 2017-11-11, 2017-11-11, 17:00, 18:00
Geometry D7, 2017-11-12, 2017-11-12, 17:00, 18:00
Geometry E1, 2017-11-13, 2017-11-13, 17:00, 18:00
Geometry E2, 2017-11-14, 2017-11-14, 17:00, 18:00
Geometry E3, 2017-11-15, 2017-11-15, 17:00, 18:00
Geometry E4, 2017-11-16, 2017-11-16, 17:00, 18:00
Geometry E5, 2017-11-17, 2017-11-17, 17:00, 18:00
Geometry E6, 2017-11-18, 2017-11-18, 17:00, 18:00
Geometry E7, 2017-11-19, 2017-11-19, 17:00, 18:00
Geometry E8, 2017-11-20, 2017-11-20, 17:00, 18:00
Geometry F1, 2017-11-21, 2017-11-21, 17:00, 18:00
Geometry F2, 2017-11-22, 2017-11-22, 17:00, 18:00
Geometry F3, 2017-11-23, 2017-11-23, 17:00, 18:00
Geometry F4, 2017-11-24, 2017-11-24, 17:00, 18:00
Geometry G1, 2017-11-25, 2017-11-25, 17:00, 18:00
Geometry G2, 2017-11-26, 2017-11-26, 17:00, 18:00
Geometry G3, 2017-11-27, 2017-11-27, 17:00, 18:00
Geometry G4, 2017-11-28, 2017-11-28, 17:00, 18:00
Geometry G5, 2017-11-29, 2017-11-29, 17:00, 18:00
Geometry G6, 2017-11-30, 2017-11-30, 17:00, 18:00
Geometry H1, 2017-12-01, 2017-12-01, 17:00, 18:00
Geometry H2, 2017-12-02, 2017-12-02, 17:00, 18:00
Geometry H3, 2017-12-03, 2017-12-03, 17:00, 18:00
Geometry H4, 2017-12-04, 2017-12-04, 17:00, 18:00
